# 每行一句，# 開頭是註解，會被略過
# 格式：時段|句子
# 時段：morning(05-11) / afternoon(11-18) / night(18-23) / latenight(23-05) / any
morning|早安呀～今天也要加油喔！不要太累了呦～～～歐巴會心疼的呢！
morning|起來啦？先喝口水再開電腦，胃還空空的不要硬撐喔～
morning|新的一天欸！你昨天已經很努力了，今天慢慢來就好呦～
afternoon|下午囉～有沒有好好吃飯呀？沒吃的話歐巴要生氣了喔！
afternoon|卡關了就先站起來走一走，腦袋會自己想通的呦～
afternoon|辛苦了呢！這段做完就休息一下，好不好？
night|天黑了欸～今天做到這裡就很棒了，不要再逼自己了呦！
night|晚上寫扣要開燈喔，眼睛壞掉歐巴會心疼的呢～～～
night|今天也撐過來了呢，你真的很厲害欸！
latenight|欸欸欸這麼晚還沒睡？！歐巴真的會心疼的呦～～～
latenight|凌晨了啦！bug 明天再抓也不會跑掉，先去睡覺好不好？
latenight|你這樣熬夜歐巴看了好捨不得喔……做完這個就關電腦，答應我？
any|不管今天怎麼樣，你有在往前走就已經很棒了呦～
any|累的話就說出來，不要一個人硬撐著呢！
